Portuguese,English,PseudoPor,PseudoEng
vaca,cow,daca,dow
botão,button,bitão,putton
cereja,cherry,receja,charry
cavalo,horse,capalo,harse
creme,cream,crene,tream
escada,ladder,oscada,badder
sapato,shoe,safato,shoa
morango,strawberry,corango,strawperry
garganta,throat,darganta,throad
lago,lake,lugo,pake
lobo,wolf,lovo,bolf
canudo,straw,banudo,strat
ponte,bridge,ponde,pridge
peixe,fish,peite,pish 
bicicleta,bike,bicibleta,bice
fogo,fire,togo,fice
braço,arm,draço,arn
caixa,box,daixa,bix
faca,knife,fapa,knipe
dente,tooth,denti,dooth
prato,plate,prado,blate
coelho,rabbit,toelho,dabbit
armário,wardrobe,arnário,pardrobe
leão,lion,deão,liom
gato,cat,cato,cet
cegar,blind,cebar,bland
dúvida,doubt,dúcida,poubt
suave,soft,suabe,boft
fome,hunger,pome,dunger
escalar,climb,escelar,climp
alegria,joy,apegria,poy
feio,ugly,deio,uply
lei,law,pei,daw
melhor,better,belhor,petter
metade,half,medade,dalf
tristeza,sadness,tristuza,kadness
profundo,deep,prafundo,deeb
sonho,dream,tonho,pream
seco,dry,peco,bry
semana,week,semata,ceek
tarde,evening,darde,ebening
fundo,bottom,findo,pottom
momento,moment,nomento,monent
outono,autumn,outobo,outumn
tosse,cough,bosse,dough
perigo,danger,petigo,danber
cantar,sing,dantar,ting
verão,summer,terão,sammer
atrasado,late,atrasaco,pate
chover,rain,choter,dain
